Date,Start,Duration,Title,Board,Component Code
Mon 14 May,9:00 AM,01:30,ICT Unit 1,WJEC,43310001
Mon 14 May,9:00 AM,01:30,Computer Science Unit 1,OCR,J276/01
Mon 14 May,1:00 PM,02:00,Religious Studies Full Course Component 1,WJEC,C120U10-1
Mon 14 May,1:00 PM,01:00,Religious Studies Short Course Component 1,WJEC,C125U10-1
Tue 15 May,9:00 AM,00:35,French Listening [F],Edexcel,1FR0 1F
Tue 15 May,9:00 AM,00:45,French Reading [F],Edexcel,1FR0 3F
Tue 15 May,9:00 AM,00:45,French Listening [H],Edexcel,1FR0 1H
Tue 15 May,9:00 AM,01:00,French Reading [H],Edexcel,1FR0 3H
Tue 15 May,1:00 PM,01:45,Biology Paper 1 [F],AQA,8461/1F
Tue 15 May,1:00 PM,01:45,Biology Paper 1 [H],AQA,8461/1H
Tue 15 May,1:00 PM,01:15,Combined Science Trilogy Biology Paper 1 [F],AQA,8464/B/1F
Tue 15 May,1:00 PM,01:15,Combined Science Trilogy Biology Paper 1 [H],AQA,8464/B/1H
Wed 16 May,9:00 AM,01:00,Physical Education Paper 1,OCR,J587/01
Wed 16 May,9:00 AM,01:00,Dutch: Writing  Paper,OCR,A804/01
Wed 16 May,9:00 AM,01:00,Portuguese: Writing  Paper,OCR,A834/01
Wed 16 May,1:00 PM,01:00,Religious Studies Full Course Component 2,WJEC,C120U20-1
Wed 16 May,1:00 PM,00:35,Religious Studies Short Course Component 2,WJEC,C125U20-1
Thu 17 May,9:00 AM,01:45,Chemistry Paper 1 [F],AQA,8462/1F
Thu 17 May,9:00 AM,01:45,Chemistry Paper 1 [H],AQA,8462/1H
Thu 17 May,9:00 AM,01:15,Combined Science Trilogy Chemistry Paper 1 [F],AQA,8464/C/1F
Thu 17 May,9:00 AM,01:15,Combined Science Trilogy Chemistry Paper 1 [H],AQA,8464/C/1H
Thu 17 May,1:00 PM,01:30,ICT Unit 3,WJEC,43330001
Thu 17 May,1:00 PM,01:30,Computer Science Unit 2,OCR,J276/02
Fri 18 May,9:00 AM,01:10,French Writing [F],Edexcel,1FR0 4F
Fri 18 May,9:00 AM,01:20,French Writing [H],Edexcel,1FR0 4H
Fri 18 May,1:00 PM,01:45,Drama Written Paper,AQA,8261/W
